"periodo";"nivel_general_aperturas";"indice_icc";"Clasificador"
"2023-05-01";"Yeseria";262.6217604345;"Ítems"
"2023-05-01";"Instalacion sanitaria y contraincendio";286.554031144301;"Ítems"
"2023-05-01";"Instalacion de gas";264.966313763234;"Ítems"
"2023-05-01";"Instalacion electrica";275.157582848947;"Ítems"
"2023-05-01";"Carpinteria metalica y herreria";273.229897975567;"Ítems"
"2023-05-01";"Carpinteria de madera";274.400139985564;"Ítems"
"2023-05-01";"Ascensores";249.974637313584;"Ítems"
"2023-05-01";"Vidrios";305.776950658664;"Ítems"
"2023-05-01";"Pintura";237.534131179922;"Ítems"
"2023-05-01";"Otros trabajos y gastos";261.498830820707;"Ítems"
"2023-06-01";"Movimiento de tierras";272.270531965217;"Ítems"
"2023-06-01";"Estructura";266.288154944496;"Ítems"
"2023-06-01";"Albanileria";260.441862526287;"Ítems"
"2023-06-01";"Yeseria";273.460652931106;"Ítems"
"2023-06-01";"Instalacion sanitaria y contraincendio";306.279306323964;"Ítems"
"2023-06-01";"Instalacion de gas";291.675364990714;"Ítems"
"2023-06-01";"Instalacion electrica";285.664678795199;"Ítems"
"2023-06-01";"Carpinteria metalica y herreria";292.693357465006;"Ítems"
"2023-06-01";"Carpinteria de madera";294.956145147532;"Ítems"
"2023-06-01";"Ascensores";270.898853606574;"Ítems"
"2023-06-01";"Vidrios";327.301426455686;"Ítems"
"2023-06-01";"Pintura";249.275257073142;"Ítems"
"2023-06-01";"Otros trabajos y gastos";291.160814433186;"Ítems"
"2023-07-01";"Movimiento de tierras";293.312620814913;"Ítems"
"2023-07-01";"Estructura";288.136374265788;"Ítems"
"2023-07-01";"Albanileria";283.249671664881;"Ítems"
"2023-07-01";"Yeseria";296.094810791664;"Ítems"
"2023-07-01";"Instalacion sanitaria y contraincendio";331.312179025976;"Ítems"
"2023-07-01";"Instalacion de gas";309.581260421044;"Ítems"
"2023-07-01";"Instalacion electrica";310.164565562014;"Ítems"
"2023-07-01";"Carpinteria metalica y herreria";312.841358574285;"Ítems"
"2023-07-01";"Carpinteria de madera";318.988823027625;"Ítems"
"2023-07-01";"Ascensores";296.436542558588;"Ítems"
"2023-07-01";"Vidrios";348.651492711825;"Ítems"
"2023-07-01";"Pintura";268.815720676233;"Ítems"
"2023-07-01";"Otros trabajos y gastos";315.11092945001;"Ítems"
"2023-08-01";"Movimiento de tierras";316.473460139109;"Ítems"
"2023-08-01";"Estructura";326.724624124792;"Ítems"
"2023-08-01";"Albanileria";316.748716874411;"Ítems"
"2023-08-01";"Yeseria";342.163055670347;"Ítems"
"2023-08-01";"Instalacion sanitaria y contraincendio";392.815970757767;"Ítems"
